r:NaN g:NaN b:NaN
r:0.9576271 g:0.96581197 b:0.97119343
r:0.9830508 g:0.982906 b:0.9794239
r:0.9745763 g:0.974359 b:0.97530866
r:0.9830508 g:0.982906 b:0.9794239
r:0.9745763 g:0.974359 b:0.9794239
r:0.9830508 g:0.991453 b:0.9835391
r:0.9745763 g:0.991453 b:0.97530866
r:0.9830508 g:1.0 b:0.9835391
r:0.9915254 g:1.0 b:0.9835391
r:1.0 g:1.0 b:1.0
r:0.9831933 g:1.0 b:0.99176955
r:0.8907563 g:0.8717949 b:0.93415636
r:0.73109245 g:0.73504275 b:0.7160494
r:0.71428573 g:0.7692308 b:0.6502058
r:0.73109245 g:0.7606838 b:0.654321
r:0.7058824 g:0.74358976 b:0.6502058
r:0.7815126 g:0.7606838 b:0.80246913
detected bill:
r:0.9579832 g:0.94871795 b:0.95473254
r:0.9831933 g:1.0 b:0.9465021
r:0.9579832 g:1.0 b:0.86419755
r:0.8739496 g:0.95121944 b:0.7613169
r:0.7815126 g:0.8455284 b:0.6707819
r:0.7058824 g:0.73983735 b:0.6378601
r:0.697479 g:0.6910569 b:0.6995885
r:0.7478992 g:0.70731705 b:0.76954734
r:0.79831934 g:0.78861785 b:0.8271605
r:0.7478992 g:0.7723577 b:0.7489712
r:0.75630254 g:0.78861785 b:0.7242799
r:0.75630254 g:0.75609756 b:0.7160494
r:0.7226891 g:0.7154471 b:0.71193415
r:0.7058824 g:0.7235772 b:0.6502058
r:0.62184876 g:0.7235772 b:0.5102881
r:0.48739496 g:0.6097561 b:0.3744856
r:0.31932774 g:0.40650403 b:0.22633746
r:0.21008404 g:0.23577236 b:0.18930042
r:0.16806723 g:0.1626016 b:0.18106997
r:0.1764706 g:0.15447153 b:0.18106997
r:0.15966387 g:0.13821137 b:0.17695473
r:0.15966387 g:0.14634144 b:0.17695473
done detecting bill.
bill sample-r:0.7815126 g:0.7606838 b:0.80246913
bill sample-r:0.9579832 g:0.94871795 b:0.95473254
bill sample-r:0.9831933 g:1.0 b:0.9465021
bill sample-r:0.9579832 g:1.0 b:0.86419755
bill sample-r:0.8739496 g:0.95121944 b:0.7613169
bill sample-r:0.7815126 g:0.8455284 b:0.6707819
bill sample-r:0.7058824 g:0.73983735 b:0.6378601
bill sample-r:0.697479 g:0.6910569 b:0.6995885
bill sample-r:0.7478992 g:0.70731705 b:0.76954734
bill sample-r:0.79831934 g:0.78861785 b:0.8271605
bill sample-r:0.7478992 g:0.7723577 b:0.7489712
bill sample-r:0.75630254 g:0.78861785 b:0.7242799
bill sample-r:0.75630254 g:0.75609756 b:0.7160494
bill sample-r:0.7226891 g:0.7154471 b:0.71193415
bill sample-r:0.7058824 g:0.7235772 b:0.6502058
bill sample-r:0.62184876 g:0.7235772 b:0.5102881
bill sample-r:0.48739496 g:0.6097561 b:0.3744856
bill sample-r:0.31932774 g:0.40650403 b:0.22633746
bill sample-r:0.21008404 g:0.23577236 b:0.18930042
bill sample-r:0.16806723 g:0.1626016 b:0.18106997
bill sample-r:0.1764706 g:0.15447153 b:0.18106997
bill sample-r:0.15966387 g:0.13821137 b:0.17695473
avgDiff:0.058753617
Detected bill:ONE
r:0.18487395 g:0.15447153 b:0.19753087
r:0.1764706 g:0.1626016 b:0.19341564
r:0.18487395 g:0.15447153 b:0.19341564
r:0.1764706 g:0.14634144 b:0.18930042
r:0.1764706 g:0.14634144 b:0.18930042
r:0.2436975 g:0.1626016 b:0.26748973
r:0.7478992 g:0.4308943 b:0.46090534
r:0.77310926 g:0.46341464 b:0.47325107
r:0.75630254 g:0.45528457 b:0.46913582
r:0.789916 g:0.49593496 b:0.49794242
r:0.7478992 g:0.4796748 b:0.46090534
r:0.7226891 g:0.4227642 b:0.47325107
detected bill:
r:0.8907563 g:0.4471545 b:0.60082304
r:0.99159664 g:0.52845526 b:0.65843624
r:1.0 g:0.58536583 b:0.654321
r:0.9435483 g:0.601626 b:0.58436215
r:0.8225806 g:0.5691057 b:0.49794242
r:0.6935484 g:0.4715447 b:0.41563785
r:0.61290324 g:0.39837396 b:0.39506173
r:0.62096775 g:0.36585364 b:0.42798355
r:0.6451613 g:0.3821138 b:0.46090534
r:0.6935484 g:0.4227642 b:0.48971197
r:0.7177419 g:0.43902436 b:0.4773663
r:0.7177419 g:0.45528457 b:0.48148152
r:0.74193543 g:0.43902436 b:0.51440334
r:0.74193543 g:0.43902436 b:0.53086424
r:0.7016129 g:0.45528457 b:0.44444445
r:0.5645161 g:0.4308943 b:0.3580247
r:0.37903225 g:0.31707317 b:0.23868315
r:0.23387097 g:0.2195122 b:0.19341564
r:0.17741935 g:0.1707317 b:0.1851852
r:0.16129032 g:0.14634144 b:0.1851852
r:0.16935483 g:0.14634144 b:0.18106997
r:0.15322581 g:0.13821137 b:0.18106997
done detecting bill.
bill sample-r:0.7226891 g:0.4227642 b:0.47325107
bill sample-r:0.8907563 g:0.4471545 b:0.60082304
bill sample-r:0.99159664 g:0.52845526 b:0.65843624
bill sample-r:1.0 g:0.58536583 b:0.654321
bill sample-r:0.9435483 g:0.601626 b:0.58436215
bill sample-r:0.8225806 g:0.5691057 b:0.49794242
bill sample-r:0.6935484 g:0.4715447 b:0.41563785
bill sample-r:0.61290324 g:0.39837396 b:0.39506173
bill sample-r:0.62096775 g:0.36585364 b:0.42798355
bill sample-r:0.6451613 g:0.3821138 b:0.46090534
bill sample-r:0.6935484 g:0.4227642 b:0.48971197
bill sample-r:0.7177419 g:0.43902436 b:0.4773663
bill sample-r:0.7177419 g:0.45528457 b:0.48148152
bill sample-r:0.74193543 g:0.43902436 b:0.51440334
bill sample-r:0.74193543 g:0.43902436 b:0.53086424
bill sample-r:0.7016129 g:0.45528457 b:0.44444445
bill sample-r:0.5645161 g:0.4308943 b:0.3580247
bill sample-r:0.37903225 g:0.31707317 b:0.23868315
bill sample-r:0.23387097 g:0.2195122 b:0.19341564
bill sample-r:0.17741935 g:0.1707317 b:0.1851852
bill sample-r:0.16129032 g:0.14634144 b:0.1851852
bill sample-r:0.16935483 g:0.14634144 b:0.18106997
avgDiff:0.047345586
Detected bill:ONE
r:0.16935483 g:0.15447153 b:0.19341564
r:0.16129032 g:0.14634144 b:0.19341564
r:0.17741935 g:0.15447153 b:0.19753087
r:0.16935483 g:0.15447153 b:0.19341564
r:0.18548386 g:0.15447153 b:0.22633746
r:0.40322578 g:0.57723576 b:0.65843624
r:0.4516129 g:0.7235772 b:0.6707819
r:0.44354835 g:0.7479674 b:0.6337449
r:0.37903225 g:0.5934959 b:0.526749
r:0.39516127 g:0.54471546 b:0.6131688
r:0.40322578 g:0.5691057 b:0.65843624
detected bill:
r:0.3467742 g:0.46341464 b:0.58436215
r:0.39516127 g:0.52845526 b:0.6707819
r:0.43548384 g:0.62601626 b:0.7078189
r:0.43548384 g:0.68292683 b:0.6666667
r:0.41935483 g:0.68292683 b:0.5967078
r:0.37903225 g:0.601626 b:0.526749
r:0.3467742 g:0.54471546 b:0.51440334
r:0.3548387 g:0.5121951 b:0.5390947
r:0.3629032 g:0.5121951 b:0.56378603
r:0.38709676 g:0.54471546 b:0.5884774
r:0.37903225 g:0.5691057 b:0.5720165
r:0.40322578 g:0.5934959 b:0.62551445
r:0.41935483 g:0.62601626 b:0.69135803
r:0.40322578 g:0.6747967 b:0.5925926
r:0.3548387 g:0.6097561 b:0.44032922
r:0.26612902 g:0.4227642 b:0.26748973
r:0.18548386 g:0.2601626 b:0.19341564
r:0.15322581 g:0.1707317 b:0.18106997
r:0.16129032 g:0.14634144 b:0.18106997
r:0.16129032 g:0.13821137 b:0.17283951
r:0.15322581 g:0.13821137 b:0.18106997
done detecting bill.
bill sample-r:0.40322578 g:0.5691057 b:0.65843624
bill sample-r:0.3467742 g:0.46341464 b:0.58436215
bill sample-r:0.39516127 g:0.52845526 b:0.6707819
bill sample-r:0.43548384 g:0.62601626 b:0.7078189
bill sample-r:0.43548384 g:0.68292683 b:0.6666667
bill sample-r:0.41935483 g:0.68292683 b:0.5967078
bill sample-r:0.37903225 g:0.601626 b:0.526749
bill sample-r:0.3467742 g:0.54471546 b:0.51440334
bill sample-r:0.3548387 g:0.5121951 b:0.5390947
bill sample-r:0.3629032 g:0.5121951 b:0.56378603
bill sample-r:0.38709676 g:0.54471546 b:0.5884774
bill sample-r:0.37903225 g:0.5691057 b:0.5720165
bill sample-r:0.40322578 g:0.5934959 b:0.62551445
bill sample-r:0.41935483 g:0.62601626 b:0.69135803
bill sample-r:0.40322578 g:0.6747967 b:0.5925926
bill sample-r:0.3548387 g:0.6097561 b:0.44032922
bill sample-r:0.26612902 g:0.4227642 b:0.26748973
bill sample-r:0.18548386 g:0.2601626 b:0.19341564
bill sample-r:0.15322581 g:0.1707317 b:0.18106997
bill sample-r:0.16129032 g:0.14634144 b:0.18106997
bill sample-r:0.16129032 g:0.13821137 b:0.17283951
avgDiff:0.043357033
Detected bill:ONE
r:0.16935483 g:0.14634144 b:0.19341564
r:0.16935483 g:0.15447153 b:0.18930042
r:0.17741935 g:0.1626016 b:0.19753087
r:0.16935483 g:0.14634144 b:0.19341564
r:0.16129032 g:0.15447153 b:0.18930042
r:0.17741935 g:0.15447153 b:0.19341564
r:0.16129032 g:0.14634144 b:0.18930042
r:0.17741935 g:0.1626016 b:0.19753087
r:0.17741935 g:0.1626016 b:0.19341564
r:0.17741935 g:0.15447153 b:0.19753087
r:0.5 g:0.46341464 b:0.4773663
r:0.61290324 g:0.68292683 b:0.5020577
r:0.5564516 g:0.601626 b:0.44444445
r:0.58064514 g:0.63414633 b:0.44855967
r:0.5645161 g:0.601626 b:0.44444445
r:0.5564516 g:0.6097561 b:0.436214
detected bill:
